Indicator_type,Data,Note
Description,IOCs Variant from REvil, Thanos/Hakbit,

sha256,bf21a65acfc39ff570c2ece05ce69b6329d3178f78cc0a6556b3164dc35ed9fc,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,58bfb9fa8889550d13f42473956dc2a7ec4f3abb18fd3faeaa38089d513c171f,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,94cb5a4f1e9d4f39a64963219218c1b2a3449add1f01666857c1e632df607764,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,a0d3ab4ed21e2f9e24b7fe1d4b0eae08ecc374d8e83c0eae75efdbe711e7f077,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,68b172e431c0d83e7745603b0519f252d3ac7c8472c44a5f8d67440958c130fe,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,c3b0daa7297129f6995835970990a76489cafc8f339cce1e40afaf269be0c90f,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,784fe349890aa30a487fca2c2ceea8662959b8639f29c60c45ad8e411ebf7d0e,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,ae66e009e16f0fad3b70ad20801f48f2edb904fa5341a89e126a26fd3fc80f75,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,e5c417231332e426e8f6001ffd65f71b95ed02e9c984cab257c0de7c56d70063,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,f35a71818715fef320f2cfc1529bd967dbb4834efd538de5c0ea7dabe9c867a7,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,aae247b1fe640f2c96cbfa508d18d475f3e4c8b29fa117a31d17ba0c4e5caa48,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,b1e97cd1ae60622ae83c56c9d15895a24405f949e4bb337e86159bcdd93e138e,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,c460fc0d4fdaf5c68623e18de106f1c3601d7bd6ba80ddad86c10fd6ea123850,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,e609a5d992755220eda13996b190cd9e3162373e335ee602b306f0080bd43db7,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,ddc22da78b330d95f1a5bedfd508984adfcf269a7a889e68a8fe34491ea03ff6,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,a5c0381e3ca913dbd42b243744c464d97afa9af63a6f4731fdf41a9d1bf6bcad,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
